id,date_submitted,category,priority,status,description,citizen_satisfaction,response_time_hours,ward_number,is_anonymous
251,2023-12-24,Public Safety,Low,Under Review,Sample feedback report #251 regarding city services,5,23.2,6,False
252,2023-02-14,Public Safety,Low,Under Review,Sample feedback report #252 regarding city services,5,50.8,10,True
253,2023-06-02,Waste Management,High,Submitted,Sample feedback report #253 regarding city services,1,7.1,18,False
254,2023-12-06,Environmental Issues,Low,Resolved,Sample feedback report #254 regarding city services,3,7.7,13,True
255,2023-02-23,Traffic Management,Medium,In Progress,Sample feedback report #255 regarding city services,4,60.9,7,True
256,2023-11-05,Water Infrastructure,Low,Closed,Sample feedback report #256 regarding city services,2,34.2,2,True
257,2023-08-08,Environmental Issues,Medium,Resolved,Sample feedback report #257 regarding city services,2,5.1,12,False
258,2023-08-03,Water Infrastructure,Medium,Under Review,Sample feedback report #258 regarding city services,3,6.5,16,True
259,2023-01-16,Parks & Recreation,Medium,Resolved,Sample feedback report #259 regarding city services,5,8.3,5,False
260,2023-01-06,Parks & Recreation,Low,Resolved,Sample feedback report #260 regarding city services,5,6.6,17,False
261,2023-03-27,Public Transport,Low,Resolved,Sample feedback report #261 regarding city services,3,1.8,18,False
262,2023-08-12,Public Transport,Medium,Resolved,Sample feedback report #262 regarding city services,5,33.4,4,True
263,2023-11-07,Waste Management,Medium,Submitted,Sample feedback report #263 regarding city services,5,5.2,15,False
264,2023-07-21,Waste Management,High,Resolved,Sample feedback report #264 regarding city services,1,11.9,14,False
265,2023-03-02,Environmental Issues,High,Closed,Sample feedback report #265 regarding city services,2,28.6,8,False
266,2023-08-05,Public Safety,Medium,Resolved,Sample feedback report #266 regarding city services,3,7.0,5,True
267,2023-10-17,Public Transport,Medium,Resolved,Sample feedback report #267 regarding city services,1,41.5,4,False
268,2023-03-11,Traffic Management,Low,In Progress,Sample feedback report #268 regarding city services,1,19.8,4,False
269,2023-03-30,Public Transport,Medium,Closed,Sample feedback report #269 regarding city services,3,7.1,4,False
270,2023-02-07,Environmental Issues,Medium,Resolved,Sample feedback report #270 regarding city services,1,31.0,10,False
271,2023-12-14,Water Infrastructure,Low,Resolved,Sample feedback report #271 regarding city services,2,7.9,9,False
272,2023-12-21,Traffic Management,Low,Submitted,Sample feedback report #272 regarding city services,3,7.5,19,True
273,2023-02-17,Traffic Management,High,Under Review,Sample feedback report #273 regarding city services,3,24.7,11,False
274,2023-01-10,Energy & Utilities,Critical,Resolved,Sample feedback report #274 regarding city services,5,3.7,18,False
275,2023-02-22,Traffic Management,High,In Progress,Sample feedback report #275 regarding city services,3,9.5,19,False
276,2023-10-10,Waste Management,Medium,Resolved,Sample feedback report #276 regarding city services,5,1.1,8,False
277,2023-01-29,Energy & Utilities,Low,Under Review,Sample feedback report #277 regarding city services,2,1.1,8,False
278,2023-08-22,Public Transport,Low,Resolved,Sample feedback report #278 regarding city services,4,41.9,20,False
279,2023-03-28,Environmental Issues,Low,Resolved,Sample feedback report #279 regarding city services,1,1.0,3,False
280,2023-07-03,Waste Management,Medium,Resolved,Sample feedback report #280 regarding city services,1,57.4,2,True
281,2023-05-31,Public Safety,Low,Closed,Sample feedback report #281 regarding city services,2,5.5,11,False
282,2023-11-26,Road Maintenance,Medium,Closed,Sample feedback report #282 regarding city services,2,5.1,3,False
283,2023-12-18,Parks & Recreation,High,Closed,Sample feedback report #283 regarding city services,1,10.5,2,False
284,2023-05-27,Parks & Recreation,Medium,In Progress,Sample feedback report #284 regarding city services,4,4.0,19,True
285,2023-03-28,Community Services,Low,Resolved,Sample feedback report #285 regarding city services,4,9.5,12,False
286,2023-02-11,Environmental Issues,Medium,In Progress,Sample feedback report #286 regarding city services,2,38.8,8,False
287,2023-07-05,Environmental Issues,Medium,Resolved,Sample feedback report #287 regarding city services,4,104.0,17,True
288,2023-03-27,Public Safety,High,Under Review,Sample feedback report #288 regarding city services,4,3.6,5,True
289,2023-09-21,Community Services,Medium,Resolved,Sample feedback report #289 regarding city services,3,1.0,14,False
290,2023-08-21,Waste Management,High,Resolved,Sample feedback report #290 regarding city services,1,1.4,1,False
291,2023-05-05,Public Transport,Low,In Progress,Sample feedback report #291 regarding city services,4,128.1,8,False
292,2023-02-04,Waste Management,Low,Resolved,Sample feedback report #292 regarding city services,4,2.6,8,False
293,2023-11-15,Public Transport,Low,Resolved,Sample feedback report #293 regarding city services,1,39.2,6,False
294,2023-08-05,Road Maintenance,Low,Closed,Sample feedback report #294 regarding city services,2,6.7,3,False
295,2023-01-02,Parks & Recreation,Low,Resolved,Sample feedback report #295 regarding city services,4,30.1,20,True
296,2023-10-19,Community Services,High,Closed,Sample feedback report #296 regarding city services,2,22.3,1,True
297,2023-12-26,Parks & Recreation,Medium,Under Review,Sample feedback report #297 regarding city services,1,46.0,13,True
298,2023-07-06,Parks & Recreation,Medium,Resolved,Sample feedback report #298 regarding city services,2,1.3,7,False
299,2023-02-09,Road Maintenance,Low,Resolved,Sample feedback report #299 regarding city services,1,24.1,20,False
300,2023-04-22,Public Transport,Medium,Under Review,Sample feedback report #300 regarding city services,5,1.6,5,False
301,2023-05-14,Traffic Management,Medium,Closed,Sample feedback report #301 regarding city services,5,7.6,6,True
302,2023-07-22,Road Maintenance,Medium,Resolved,Sample feedback report #302 regarding city services,4,30.2,5,False
303,2023-06-17,Energy & Utilities,High,Closed,Sample feedback report #303 regarding city services,3,1.0,9,True
304,2023-02-03,Community Services,Medium,Resolved,Sample feedback report #304 regarding city services,4,7.2,17,True
305,2023-02-02,Environmental Issues,Medium,Under Review,Sample feedback report #305 regarding city services,2,11.8,7,False
306,2023-10-27,Public Safety,Low,In Progress,Sample feedback report #306 regarding city services,2,12.9,7,False
307,2023-03-03,Public Safety,Low,In Progress,Sample feedback report #307 regarding city services,5,9.3,19,False
308,2023-09-09,Waste Management,High,In Progress,Sample feedback report #308 regarding city services,4,35.6,2,False
309,2023-11-22,Public Transport,Medium,Resolved,Sample feedback report #309 regarding city services,5,66.5,2,True
310,2023-05-09,Waste Management,High,Resolved,Sample feedback report #310 regarding city services,4,10.1,16,False
311,2023-05-08,Road Maintenance,Low,Submitted,Sample feedback report #311 regarding city services,4,9.1,18,False
312,2023-02-21,Waste Management,Medium,In Progress,Sample feedback report #312 regarding city services,2,26.3,3,False
313,2023-06-01,Waste Management,Medium,In Progress,Sample feedback report #313 regarding city services,4,7.2,12,False
314,2023-12-04,Traffic Management,Low,Resolved,Sample feedback report #314 regarding city services,3,1.4,20,False
315,2023-01-26,Water Infrastructure,Medium,Submitted,Sample feedback report #315 regarding city services,1,34.6,9,False
316,2023-07-29,Community Services,Medium,Resolved,Sample feedback report #316 regarding city services,3,17.8,20,True
317,2023-01-12,Waste Management,Low,Resolved,Sample feedback report #317 regarding city services,2,8.9,6,True
318,2023-01-21,Parks & Recreation,Critical,In Progress,Sample feedback report #318 regarding city services,4,12.7,14,False
319,2023-09-01,Road Maintenance,High,Resolved,Sample feedback report #319 regarding city services,5,5.3,17,False
320,2023-10-15,Community Services,Medium,Resolved,Sample feedback report #320 regarding city services,1,16.9,6,False
321,2023-01-27,Waste Management,Medium,In Progress,Sample feedback report #321 regarding city services,1,6.7,18,True
322,2023-04-10,Environmental Issues,Low,Submitted,Sample feedback report #322 regarding city services,5,14.1,12,False
323,2023-01-05,Traffic Management,High,In Progress,Sample feedback report #323 regarding city services,5,26.0,10,False
324,2023-03-01,Parks & Recreation,Low,In Progress,Sample feedback report #324 regarding city services,4,16.6,13,True
325,2023-07-07,Parks & Recreation,Low,In Progress,Sample feedback report #325 regarding city services,3,45.0,2,False
326,2023-04-10,Energy & Utilities,Low,Closed,Sample feedback report #326 regarding city services,2,24.8,10,True
327,2023-11-19,Public Safety,Low,Resolved,Sample feedback report #327 regarding city services,5,11.5,12,True
328,2023-12-23,Road Maintenance,Low,Resolved,Sample feedback report #328 regarding city services,4,12.3,7,True
329,2023-03-29,Parks & Recreation,High,In Progress,Sample feedback report #329 regarding city services,3,20.7,19,False
330,2023-08-06,Public Safety,Medium,In Progress,Sample feedback report #330 regarding city services,4,11.6,16,False
331,2023-01-14,Waste Management,Medium,In Progress,Sample feedback report #331 regarding city services,5,23.1,9,False
332,2023-01-25,Water Infrastructure,Critical,Resolved,Sample feedback report #332 regarding city services,5,3.1,14,False
333,2023-05-24,Traffic Management,Medium,Resolved,Sample feedback report #333 regarding city services,5,13.4,13,False
334,2023-05-28,Traffic Management,Medium,Submitted,Sample feedback report #334 regarding city services,4,50.8,4,False
335,2023-06-08,Public Safety,Medium,In Progress,Sample feedback report #335 regarding city services,1,2.8,13,False
336,2023-03-12,Parks & Recreation,Medium,Resolved,Sample feedback report #336 regarding city services,3,61.0,4,False
337,2023-10-18,Parks & Recreation,High,Resolved,Sample feedback report #337 regarding city services,4,87.3,18,False
338,2023-08-19,Parks & Recreation,Medium,In Progress,Sample feedback report #338 regarding city services,4,25.3,10,True
339,2023-09-18,Traffic Management,Low,In Progress,Sample feedback report #339 regarding city services,1,3.3,10,False
340,2023-05-13,Public Safety,Low,Under Review,Sample feedback report #340 regarding city services,3,40.6,2,True
341,2023-04-06,Community Services,Medium,Closed,Sample feedback report #341 regarding city services,2,17.8,8,True
342,2023-05-22,Traffic Management,Critical,Resolved,Sample feedback report #342 regarding city services,1,54.3,6,True
343,2023-08-14,Energy & Utilities,High,Submitted,Sample feedback report #343 regarding city services,3,7.5,16,False
344,2023-05-18,Energy & Utilities,High,Under Review,Sample feedback report #344 regarding city services,3,15.1,9,False
345,2023-12-03,Energy & Utilities,Low,Resolved,Sample feedback report #345 regarding city services,5,25.4,16,False
346,2023-07-03,Public Safety,Critical,Resolved,Sample feedback report #346 regarding city services,5,35.7,6,False
347,2023-07-14,Public Safety,Low,Resolved,Sample feedback report #347 regarding city services,1,5.7,11,False
348,2023-10-07,Parks & Recreation,Medium,Under Review,Sample feedback report #348 regarding city services,4,1.2,6,False
349,2023-03-21,Environmental Issues,Medium,Resolved,Sample feedback report #349 regarding city services,1,20.9,13,True
350,2023-11-19,Public Safety,Medium,Resolved,Sample feedback report #350 regarding city services,1,25.1,6,False
351,2023-02-26,Traffic Management,Medium,Under Review,Sample feedback report #351 regarding city services,3,73.8,20,False
352,2023-04-07,Water Infrastructure,Low,In Progress,Sample feedback report #352 regarding city services,3,25.1,10,False
353,2023-02-28,Environmental Issues,High,In Progress,Sample feedback report #353 regarding city services,5,7.0,17,True
354,2023-12-17,Road Maintenance,High,Resolved,Sample feedback report #354 regarding city services,2,4.5,4,False
355,2023-08-16,Public Safety,Low,Resolved,Sample feedback report #355 regarding city services,2,48.8,14,False
356,2023-02-03,Traffic Management,High,Resolved,Sample feedback report #356 regarding city services,4,21.2,17,False
357,2023-03-22,Public Transport,Medium,In Progress,Sample feedback report #357 regarding city services,2,4.5,7,False
358,2023-06-20,Waste Management,Medium,Submitted,Sample feedback report #358 regarding city services,5,6.7,11,False
359,2023-07-11,Water Infrastructure,Medium,In Progress,Sample feedback report #359 regarding city services,2,6.4,3,False
360,2023-06-01,Traffic Management,High,In Progress,Sample feedback report #360 regarding city services,5,45.8,4,False
361,2023-05-11,Energy & Utilities,Low,Resolved,Sample feedback report #361 regarding city services,2,60.8,12,False
362,2023-12-26,Traffic Management,High,Closed,Sample feedback report #362 regarding city services,2,14.6,4,True
363,2023-12-18,Parks & Recreation,Low,In Progress,Sample feedback report #363 regarding city services,2,34.5,5,False
364,2023-01-25,Traffic Management,Medium,Under Review,Sample feedback report #364 regarding city services,4,1.3,13,False
365,2023-02-24,Water Infrastructure,High,Resolved,Sample feedback report #365 regarding city services,5,5.4,15,False
366,2023-09-15,Public Transport,High,Resolved,Sample feedback report #366 regarding city services,1,17.8,16,True
367,2023-01-13,Environmental Issues,High,Resolved,Sample feedback report #367 regarding city services,3,11.2,11,False
368,2023-03-20,Public Transport,Low,Closed,Sample feedback report #368 regarding city services,5,31.1,15,True
369,2023-08-20,Road Maintenance,Low,Resolved,Sample feedback report #369 regarding city services,1,5.8,13,True
370,2023-09-14,Energy & Utilities,Medium,Resolved,Sample feedback report #370 regarding city services,4,29.7,9,False
371,2023-02-03,Public Transport,Low,Resolved,Sample feedback report #371 regarding city services,2,12.8,14,False
372,2023-04-17,Public Safety,Medium,Submitted,Sample feedback report #372 regarding city services,3,10.8,14,False
373,2023-01-31,Environmental Issues,Medium,Resolved,Sample feedback report #373 regarding city services,4,21.0,20,True
374,2023-03-15,Community Services,Low,In Progress,Sample feedback report #374 regarding city services,2,8.1,18,False
375,2023-07-28,Water Infrastructure,High,Resolved,Sample feedback report #375 regarding city services,4,18.5,16,False
376,2023-05-16,Traffic Management,High,Resolved,Sample feedback report #376 regarding city services,2,56.7,5,False
377,2023-04-15,Water Infrastructure,Medium,Resolved,Sample feedback report #377 regarding city services,4,17.7,14,False
378,2023-05-24,Energy & Utilities,High,Resolved,Sample feedback report #378 regarding city services,2,17.2,16,False
379,2023-12-02,Community Services,Low,Resolved,Sample feedback report #379 regarding city services,4,55.0,11,False
380,2023-05-12,Environmental Issues,Low,Resolved,Sample feedback report #380 regarding city services,5,5.4,9,False
381,2023-04-27,Energy & Utilities,Low,Under Review,Sample feedback report #381 regarding city services,5,39.4,8,False
382,2023-07-28,Water Infrastructure,High,Submitted,Sample feedback report #382 regarding city services,1,42.8,14,False
383,2023-08-31,Water Infrastructure,Medium,In Progress,Sample feedback report #383 regarding city services,1,9.0,2,False
384,2023-11-15,Water Infrastructure,Medium,Resolved,Sample feedback report #384 regarding city services,5,26.4,7,False
385,2023-02-16,Traffic Management,Medium,Resolved,Sample feedback report #385 regarding city services,1,13.6,16,False
386,2023-07-10,Public Transport,High,Resolved,Sample feedback report #386 regarding city services,3,33.9,16,False
387,2023-11-18,Public Transport,Medium,In Progress,Sample feedback report #387 regarding city services,4,10.0,15,False
388,2023-01-31,Parks & Recreation,Low,Resolved,Sample feedback report #388 regarding city services,2,10.8,6,False
389,2023-03-18,Road Maintenance,Medium,In Progress,Sample feedback report #389 regarding city services,2,27.5,13,False
390,2023-05-07,Energy & Utilities,High,Resolved,Sample feedback report #390 regarding city services,4,26.2,11,True
391,2023-05-08,Public Transport,High,In Progress,Sample feedback report #391 regarding city services,3,26.0,10,False
392,2023-04-08,Water Infrastructure,Medium,Closed,Sample feedback report #392 regarding city services,3,92.8,20,True
393,2023-07-20,Waste Management,Medium,Under Review,Sample feedback report #393 regarding city services,4,11.0,11,False
394,2023-01-27,Energy & Utilities,Medium,Submitted,Sample feedback report #394 regarding city services,2,70.9,10,True
395,2023-09-04,Environmental Issues,Critical,Resolved,Sample feedback report #395 regarding city services,2,2.1,18,False
396,2023-09-28,Water Infrastructure,High,Under Review,Sample feedback report #396 regarding city services,3,16.5,4,False
397,2023-04-13,Public Safety,Medium,Resolved,Sample feedback report #397 regarding city services,4,28.9,12,False
398,2023-12-05,Public Safety,Low,Resolved,Sample feedback report #398 regarding city services,2,66.5,9,True
399,2023-09-04,Public Safety,Low,Resolved,Sample feedback report #399 regarding city services,4,10.5,2,False
400,2023-07-25,Energy & Utilities,Low,In Progress,Sample feedback report #400 regarding city services,5,53.0,17,True
401,2023-10-18,Waste Management,Medium,Submitted,Sample feedback report #401 regarding city services,4,44.8,16,False
402,2023-05-31,Waste Management,Low,Resolved,Sample feedback report #402 regarding city services,3,27.2,1,False
403,2023-01-31,Community Services,Low,Closed,Sample feedback report #403 regarding city services,4,40.6,14,False
404,2023-06-10,Public Transport,Low,In Progress,Sample feedback report #404 regarding city services,2,26.7,6,True
405,2023-04-29,Waste Management,Low,Resolved,Sample feedback report #405 regarding city services,5,15.2,20,False
406,2023-12-19,Road Maintenance,Medium,Resolved,Sample feedback report #406 regarding city services,5,26.0,10,False
407,2023-05-15,Environmental Issues,High,Resolved,Sample feedback report #407 regarding city services,1,42.9,18,False
408,2023-08-09,Community Services,Medium,Under Review,Sample feedback report #408 regarding city services,3,34.3,4,False
409,2023-04-19,Water Infrastructure,Low,In Progress,Sample feedback report #409 regarding city services,4,25.0,8,True
410,2023-10-29,Environmental Issues,Medium,Under Review,Sample feedback report #410 regarding city services,5,15.2,10,False
411,2023-05-06,Road Maintenance,Medium,Under Review,Sample feedback report #411 regarding city services,4,1.0,12,False
412,2023-07-08,Parks & Recreation,High,Under Review,Sample feedback report #412 regarding city services,4,1.1,3,False
413,2023-04-26,Energy & Utilities,High,Resolved,Sample feedback report #413 regarding city services,5,59.5,16,True
414,2023-10-25,Community Services,High,Resolved,Sample feedback report #414 regarding city services,5,26.4,4,True
415,2023-01-28,Energy & Utilities,Critical,Submitted,Sample feedback report #415 regarding city services,3,78.7,17,False
416,2023-03-28,Road Maintenance,Medium,In Progress,Sample feedback report #416 regarding city services,2,23.9,17,True
417,2023-04-19,Waste Management,Medium,Under Review,Sample feedback report #417 regarding city services,3,1.0,2,False
418,2023-06-19,Public Safety,Medium,Under Review,Sample feedback report #418 regarding city services,3,25.3,20,True
419,2023-04-04,Community Services,Medium,In Progress,Sample feedback report #419 regarding city services,5,6.0,20,False
420,2023-10-07,Parks & Recreation,Medium,In Progress,Sample feedback report #420 regarding city services,3,9.6,20,False
421,2023-07-10,Energy & Utilities,Low,Resolved,Sample feedback report #421 regarding city services,1,5.6,5,False
422,2023-05-30,Environmental Issues,Low,Submitted,Sample feedback report #422 regarding city services,3,56.8,6,False
423,2023-11-22,Energy & Utilities,Low,Submitted,Sample feedback report #423 regarding city services,3,14.6,15,False
424,2023-02-09,Public Transport,Low,In Progress,Sample feedback report #424 regarding city services,3,22.9,15,True
425,2023-01-17,Community Services,Medium,Submitted,Sample feedback report #425 regarding city services,2,59.2,10,True
426,2023-12-24,Public Safety,High,In Progress,Sample feedback report #426 regarding city services,3,13.6,11,True
427,2023-05-14,Parks & Recreation,Low,Resolved,Sample feedback report #427 regarding city services,3,23.6,19,False
428,2023-05-08,Parks & Recreation,Critical,Resolved,Sample feedback report #428 regarding city services,4,6.0,15,True
429,2023-06-12,Road Maintenance,Low,In Progress,Sample feedback report #429 regarding city services,3,5.3,17,False
430,2023-11-23,Energy & Utilities,Low,Under Review,Sample feedback report #430 regarding city services,2,1.0,18,False
431,2023-05-26,Water Infrastructure,Medium,Resolved,Sample feedback report #431 regarding city services,1,17.3,1,False
432,2023-02-27,Water Infrastructure,High,In Progress,Sample feedback report #432 regarding city services,4,1.0,19,True
433,2023-06-27,Community Services,High,Under Review,Sample feedback report #433 regarding city services,3,10.5,12,False
434,2023-01-30,Traffic Management,Low,Resolved,Sample feedback report #434 regarding city services,2,20.2,11,False
435,2023-07-13,Energy & Utilities,Low,Resolved,Sample feedback report #435 regarding city services,5,31.3,15,True
436,2023-09-29,Public Safety,Low,In Progress,Sample feedback report #436 regarding city services,4,35.9,18,False
437,2023-12-16,Environmental Issues,Low,Under Review,Sample feedback report #437 regarding city services,3,22.4,19,False
438,2023-03-30,Traffic Management,Low,Under Review,Sample feedback report #438 regarding city services,2,31.7,3,True
439,2023-04-06,Traffic Management,Medium,Resolved,Sample feedback report #439 regarding city services,4,33.4,11,False
440,2023-11-13,Public Safety,Low,Resolved,Sample feedback report #440 regarding city services,4,108.9,16,False
441,2023-09-16,Waste Management,Medium,Under Review,Sample feedback report #441 regarding city services,3,4.8,7,True
442,2023-10-25,Environmental Issues,Low,Under Review,Sample feedback report #442 regarding city services,4,7.4,20,False
443,2023-02-23,Waste Management,Low,Resolved,Sample feedback report #443 regarding city services,2,22.9,18,True
444,2023-01-16,Waste Management,Medium,Resolved,Sample feedback report #444 regarding city services,4,1.0,10,False
445,2023-07-24,Water Infrastructure,Medium,Resolved,Sample feedback report #445 regarding city services,2,2.3,10,True
446,2023-04-17,Public Safety,High,Under Review,Sample feedback report #446 regarding city services,1,12.1,5,False
447,2023-02-13,Public Transport,Medium,Resolved,Sample feedback report #447 regarding city services,1,21.1,7,False
448,2023-03-08,Community Services,Low,Resolved,Sample feedback report #448 regarding city services,5,1.0,8,False
449,2023-11-07,Parks & Recreation,Medium,Under Review,Sample feedback report #449 regarding city services,3,7.5,10,True
450,2023-01-23,Energy & Utilities,High,In Progress,Sample feedback report #450 regarding city services,5,7.3,10,True
451,2023-10-29,Environmental Issues,Medium,Resolved,Sample feedback report #451 regarding city services,1,27.9,5,False
452,2023-10-27,Waste Management,Medium,Resolved,Sample feedback report #452 regarding city services,2,36.5,4,False
453,2023-02-21,Public Safety,Low,Under Review,Sample feedback report #453 regarding city services,2,41.0,16,False
454,2023-03-22,Energy & Utilities,Medium,In Progress,Sample feedback report #454 regarding city services,5,5.1,3,False
455,2023-12-15,Water Infrastructure,Low,Resolved,Sample feedback report #455 regarding city services,1,5.5,1,False
456,2023-04-13,Traffic Management,High,Under Review,Sample feedback report #456 regarding city services,5,80.9,16,True
457,2023-03-27,Road Maintenance,Low,Resolved,Sample feedback report #457 regarding city services,5,35.5,20,False
458,2023-09-20,Water Infrastructure,Low,Resolved,Sample feedback report #458 regarding city services,2,50.6,19,False
459,2023-12-08,Water Infrastructure,Low,Resolved,Sample feedback report #459 regarding city services,4,94.4,18,True
460,2023-02-20,Road Maintenance,Medium,Submitted,Sample feedback report #460 regarding city services,3,51.5,12,False
461,2023-12-30,Road Maintenance,Low,In Progress,Sample feedback report #461 regarding city services,3,19.5,12,False
462,2023-06-25,Energy & Utilities,Low,Resolved,Sample feedback report #462 regarding city services,4,61.2,10,True
463,2023-05-20,Public Safety,Medium,In Progress,Sample feedback report #463 regarding city services,2,1.0,12,True
464,2023-10-02,Public Transport,Medium,In Progress,Sample feedback report #464 regarding city services,2,1.0,11,True
465,2023-04-06,Public Safety,Medium,Closed,Sample feedback report #465 regarding city services,1,28.4,18,False
466,2023-12-09,Road Maintenance,Low,Resolved,Sample feedback report #466 regarding city services,4,14.4,7,False
467,2023-03-02,Public Transport,Low,Resolved,Sample feedback report #467 regarding city services,2,9.2,10,False
468,2023-06-02,Energy & Utilities,Low,Under Review,Sample feedback report #468 regarding city services,4,16.7,16,True
469,2023-07-31,Road Maintenance,Low,Closed,Sample feedback report #469 regarding city services,3,98.5,6,False
470,2023-06-23,Environmental Issues,Low,In Progress,Sample feedback report #470 regarding city services,2,52.9,20,False
471,2023-10-30,Public Safety,High,Resolved,Sample feedback report #471 regarding city services,2,9.7,9,False
472,2023-09-29,Parks & Recreation,High,Submitted,Sample feedback report #472 regarding city services,4,2.2,8,False
473,2023-06-13,Public Safety,Low,Resolved,Sample feedback report #473 regarding city services,1,22.3,11,False
474,2023-06-22,Water Infrastructure,Low,Closed,Sample feedback report #474 regarding city services,1,22.6,14,False
475,2023-05-23,Road Maintenance,Low,In Progress,Sample feedback report #475 regarding city services,5,1.9,5,True
476,2023-04-27,Traffic Management,Medium,Under Review,Sample feedback report #476 regarding city services,3,64.7,18,False
477,2023-02-15,Community Services,Low,In Progress,Sample feedback report #477 regarding city services,4,19.4,17,False
478,2023-04-01,Energy & Utilities,High,Resolved,Sample feedback report #478 regarding city services,1,12.0,17,False
479,2023-07-09,Waste Management,High,In Progress,Sample feedback report #479 regarding city services,1,72.9,15,False
480,2023-07-27,Parks & Recreation,Critical,Under Review,Sample feedback report #480 regarding city services,2,23.2,5,False
481,2023-04-07,Energy & Utilities,Low,Resolved,Sample feedback report #481 regarding city services,2,31.8,10,True
482,2023-09-24,Community Services,Low,Resolved,Sample feedback report #482 regarding city services,3,18.0,16,False
483,2023-01-05,Road Maintenance,Medium,In Progress,Sample feedback report #483 regarding city services,4,55.0,9,False
484,2023-03-24,Road Maintenance,Critical,Resolved,Sample feedback report #484 regarding city services,4,3.2,10,False
485,2023-09-23,Community Services,Medium,Closed,Sample feedback report #485 regarding city services,2,11.0,9,False
486,2023-05-23,Energy & Utilities,Low,Resolved,Sample feedback report #486 regarding city services,3,70.6,16,True
487,2023-08-21,Community Services,Low,Resolved,Sample feedback report #487 regarding city services,4,1.0,4,True
488,2023-05-30,Waste Management,High,In Progress,Sample feedback report #488 regarding city services,1,29.4,18,False
489,2023-11-28,Environmental Issues,Low,Under Review,Sample feedback report #489 regarding city services,4,20.8,3,True
490,2023-12-26,Public Safety,High,Under Review,Sample feedback report #490 regarding city services,1,22.5,13,False
491,2023-04-01,Community Services,Medium,Resolved,Sample feedback report #491 regarding city services,5,22.5,10,False
492,2023-09-19,Public Transport,Low,Resolved,Sample feedback report #492 regarding city services,4,19.5,20,False
493,2023-01-16,Parks & Recreation,Medium,In Progress,Sample feedback report #493 regarding city services,5,14.6,18,False
494,2023-05-18,Traffic Management,Low,Resolved,Sample feedback report #494 regarding city services,5,10.8,2,False
495,2023-03-24,Public Transport,High,In Progress,Sample feedback report #495 regarding city services,1,20.1,18,True
496,2023-12-18,Community Services,Critical,Submitted,Sample feedback report #496 regarding city services,4,2.0,18,True
497,2023-12-21,Road Maintenance,Low,Resolved,Sample feedback report #497 regarding city services,2,25.2,20,False
498,2023-07-22,Environmental Issues,Medium,Submitted,Sample feedback report #498 regarding city services,5,39.9,1,False
499,2023-04-02,Energy & Utilities,Medium,Submitted,Sample feedback report #499 regarding city services,3,7.9,1,False
500,2023-03-10,Traffic Management,Low,Resolved,Sample feedback report #500 regarding city services,4,71.9,20,False
